"filename", "language", "JavaScript", "SCSS", "JavaScript React", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\App.css", "CSS", 0, 0, 0, 0, 10, 0, 4, 14
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\App.js", "JavaScript", 62, 0, 0, 0, 0, 2, 18, 82
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\assets\crown.svg", "XML", 0, 0, 0, 16, 0, 1, 0, 17
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\assets\shopping-bag.svg", "XML", 0, 0, 0, 52, 0, 1, 1, 54
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\cart-dropdown\cart-dropdown.component.jsx", "JavaScript React", 0, 0, 32, 0, 0, 5, 7, 44
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\cart-dropdown\cart-dropdown.styles.scss", "SCSS", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\cart-icon\cart-icon.component.jsx", "JavaScript React", 0, 0, 23, 0, 0, 1, 7, 31
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\cart-icon\cart-icon.styles.scss", "SCSS", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\cart-item\cart-item.component.jsx", "JavaScript React", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\cart-item\cart-item.styles.scss", "SCSS", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\checkout-item\checkout-item.component.jsx", "JavaScript React", 0, 0, 38, 0, 0, 1, 6, 45
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\checkout-item\checkout-item.styles.scss", "SCSS", 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\collection-item\collection-item.component.jsx", "JavaScript React", 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\collection-item\collection-item.styles.scss", "SCSS", 0, 74, 0, 0, 0, 0, 13, 87
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\collection-preview\collection-preview.component.jsx", "JavaScript React", 0, 0, 16, 0, 0, 1, 5, 22
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\collection-preview\collection-preview.styles.scss", "SCSS", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\collections-overview\collections-overview.component.jsx", "JavaScript React", 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\collections-overview\collections-overview.styles.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\custom-button\custom-button.component.jsx", "JavaScript React", 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\custom-button\custom-button.styles.scss", "SCSS", 0, 37, 0, 0, 0, 1, 7, 45
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\directory\directory.component.jsx", "JavaScript React", 0, 0, 17, 0, 0, 0, 8, 25
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\directory\directory.style.scss", "SCSS", 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\form-input\form-input.component.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\form-input\form-input.styles.scss", "SCSS", 0, 46, 0, 0, 0, 0, 9, 55
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\header\header.component.jsx", "JavaScript React", 0, 0, 46, 0, 0, 0, 6, 52
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\header\header.styles.scss", "SCSS", 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\menu-item\menu-item.component.jsx", "JavaScript React", 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\menu-item\menu-item.styles.scss", "SCSS", 0, 58, 0, 0, 0, 0, 14, 72
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\sign-in\sign-in.component.jsx", "JavaScript React", 0, 0, 61, 0, 0, 0, 13, 74
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\sign-in\sign-in.styles.scss", "SCSS", 0, 15, 0, 0, 0, 0, 8, 23
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\sign-up\sign-up.component.jsx", "JavaScript React", 0, 0, 88, 0, 0, 0, 15, 103
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\sign-up\sign-up.styles.scss", "SCSS", 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\components\stripe-button\stripe-button.component.jsx", "JavaScript React", 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\firebase\firebase.utils.js", "JavaScript", 40, 0, 0, 0, 0, 0, 10, 50
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\index.css", "CSS", 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\logo.svg", "XML", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\checkout\checkout.component.jsx", "JavaScript React", 0, 0, 47, 0, 0, 0, 8, 55
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\checkout\checkout.styles.scss", "SCSS", 0, 37, 0, 0, 0, 0, 7, 44
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\collection\collection.component.jsx", "JavaScript React", 0, 0, 23, 0, 0, 1, 6, 30
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\collection\collection.styles.scss", "SCSS", 0, 16, 0, 0, 0, 0, 8, 24
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\homepage\homepage.component.jsx", "JavaScript React", 0, 0, 9, 0, 0, 0, 5, 14
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\homepage\homepage.styles.scss", "SCSS", 0, 6, 0, 0, 0, 0, 5, 11
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\shop\shop.component.jsx", "JavaScript React", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\sign-in-and-sign-up\sign-in-and-sign-up.component.jsx", "JavaScript React", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\pages\sign-in-and-sign-up\sign-in-and-sign-up.styles.scss", "SCSS", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\cart\cart.actions.js", "JavaScript", 16, 0, 0, 0, 0, 3, 5, 24
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\cart\cart.reducer.js", "JavaScript", 35, 0, 0, 0, 0, 1, 5, 41
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\cart\cart.selectors.js", "JavaScript", 28, 0, 0, 0, 0, 5, 6, 39
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\cart\cart.types.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\cart\cart.utis.js", "JavaScript", 26, 0, 0, 0, 0, 5, 6, 37
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\directory\directory.reducer.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\directory\directory.selectors.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\root-reducer.js", "JavaScript", 19, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\shop\shop.data.js", "JavaScript", 248, 0, 0, 0, 0, 0, 1, 249
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\shop\shop.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\shop\shop.selectors.js", "JavaScript", 15, 0, 0, 0, 0, 18, 13, 46
"c:\Users\Mayank Kumar\Desktop\MyProj\E-corp\src\redux\store.js", "JavaScript", 11, 0, 0, 0, 0, 2, 12, 25
